SerialNo,CompanyName,Website,Address,Prefecture,BusinessFields,Features,RecruitTags,Email,Phone,Notes,LogoURL
1,アークシステム株式会社,https://www.ark-sys.co.jp/,220-0011　横浜市西区高島2-6-32　横浜東口ウィスポートビル4F,,パッケージソフトウェア、SES,顧客第一、高い技術力、人間尊重,新卒採用 | 中途採用 | インターンシップ | 常駐・派遣,,,新卒採用 | 中途採用 | インターンシップ | 220-0011 横浜市西区高島2-6-32 横浜東口ウィスポートビル4F | パッケージソフトウェア、SES | 顧客第一、高い技術力、人間尊重 |,
2,アーズ総合開発株式会社,http://www.arz.co.jp/,140-0001　東京都品川区北品川3-6-2　品川MSビル8F,東京都,特長,,,,,140-0001 東京都品川区北品川3-6-2 品川MSビル8F |,
3,アーネスト開発株式会社,https://www.earnestdevelopment.co.jp/,230-0075　横浜市鶴見区上の宮1-36-2,,SES,,中途採用,,,中途採用 | 230-0075 横浜市鶴見区上の宮1-36-2 | SES |,
4,アーバン・コーポレーション株式会社,http://urban-web.co.jp/,220-0011　横浜市西区高島1-2-5　横濱ゲートタワー16F,,特長,,,,,220-0011 横浜市西区高島1-2-5 横濱ゲートタワー16F |,
5,アイエスシー株式会社,http://www.isc-net.co.jp,211-0002　川崎市中原区上丸子山王町1-874-5　ユーテムビル2階,,特長,,,,,211-0002 川崎市中原区上丸子山王町1-874-5 ユーテムビル2階 |,
6,株式会社ＩＳＴソフトウェア,http://www.ist-software.co.jp/,144-8721　東京都大田区蒲田5-37-1　ニッセイアロマスクエア13F,東京都,受託開発ソフトウェア、組み込みソフトウェア、パッケージソフトウェア、情報処理サービス、ネットワーク・通信関連、SES、インターネット利用サポート（情報ネットワーク・セキュリティ・サービス）,,新卒採用 | 中途採用 | インターンシップ | 常駐・派遣,,,新卒採用 | 中途採用 | インターンシップ | 144-8721 東京都大田区蒲田5-37-1 ニッセイアロマスクエア13F | 受託開発ソフトウェア、組み込みソフトウェア、パッケージソフトウェア、情報処理サービス、ネットワーク・通信関連、SES、インターネット利用サポート（情報ネットワーク・セキュリティ・サービス） |,
7,株式会社アイキャル,https://www.ical.jp/,221-0844　横浜市神奈川区沢渡1-2　Ｊプロ高島台サウスビル5F,,情報処理サービス,,新卒採用 | 中途採用 | インターンシップ | 常駐・派遣,,,新卒採用 | 中途採用 | インターンシップ | 221-0844 横浜市神奈川区沢渡1-2 Ｊプロ高島台サウスビル5F | 情報処理サービス |,
8,株式会社ＩＣＯＮ,http://www.e-icon.co.jp/,221-0834　横浜市神奈川区台町13-19　三栄ビル3F,,特長,,,,,221-0834 横浜市神奈川区台町13-19 三栄ビル3F |,
9,株式会社アイ・ジー・スクウェア,https://www.igsquare.co.jp/,220-0004　横浜市西区北幸2-10-27　東武立野ビル3F,,情報処理サービス、SES,,新卒採用 | 常駐・派遣,,,新卒採用 | 220-0004 横浜市西区北幸2-10-27 東武立野ビル3F | 情報処理サービス、SES |,
10,アイシス株式会社,http://www.isis.co.jp/,215-0004　川崎市麻生区万福寺1-1-1 新百合ヶ丘シティビルディング3F,,組み込みソフトウェア、パッケージソフトウェア、情報処理サービス、その他の情報サービス、SES,,新卒採用 | 中途採用 | 常駐・派遣,,,新卒採用 | 中途採用 | 215-0004 川崎市麻生区万福寺1-1-1 新百合ヶ丘シティビルディング3F | 組み込みソフトウェア、パッケージソフトウェア、情報処理サービス、その他の情報サービス、SES |
